Year,Enrollment,Decade,YoY_change
1971,70.01,1970,
1972,70.54,1970,0.53
1973,71.07,1970,0.53
1974,72.55,1970,1.48
1975,75.56,1970,3.01
1976,84.72,1970,9.16
1977,89.63,1970,4.91
1978,90.68,1970,1.05
1979,105.06,1970,14.38
1980,107.95,1980,2.89
1981,104.82,1980,-3.13
1982,102.98,1980,-1.84
1983,99.94,1980,-3.04
1984,100.36,1980,0.42
1985,100.02,1980,-0.34
1986,101.29,1980,1.27
1987,102.56,1980,1.27
1988,103.56,1980,1.0
1989,102.61,1980,-0.95
1991,111.21,1990,8.6
1992,92.53,1990,-18.68
1993,91.17,1990,-1.36
1996,82.73,1990,-8.44
1999,92.75,1990,10.02
2000,90.1,2000,-2.65
2003,96.08,2000,5.98
2004,95.08,2000,-1.0
2007,103.74,2000,8.66
